# ACTS Test Suite Generation: Sun Mar 13 16:51:27 EDT 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 4
# Maximum number of values per parameter: 4
# Number of configurations: 16
calculate_probability,combination_probability,creation_vocab,clean_text
true,true,1,0
true,false,1,1
false,true,1,1
false,false,1,0
true,true,2,1
true,false,2,0
false,true,2,0
false,false,2,1
true,true,3,0
true,false,3,1
false,true,3,1
false,false,3,0
true,true,4,0
true,false,4,1
false,true,4,1
false,false,4,0
